import time: self [us] | cumulative | imported package
import time:       489 |        489 |     _pytest.monkeypatch
import time:        37 |         37 |       gc
import time:       817 |        817 |       _pytest.tmpdir
import time:      1137 |       1991 |     _pytest.pytester
import time:      1571 |       1571 |     _pytest.terminal
import time:       787 |      11441 |   _pytest.legacypath
import time:        24 |         24 |         _string
import time:       422 |        446 |       string
import time:      1785 |       2230 |     logging
import time:      1017 |       3247 |   _pytest.logging
import time:      2307 |       2307 |   _pytest.recwarn
import time:      2283 |       2283 |   _pytest.subtests
import time:       489 |     144707 | pytest
import time:       343 |        343 | _pytest._argcomplete
import time:       391 |        391 |     unittest.util
import time:       582 |        973 |   unittest.result
import time:      1652 |       1652 |         _heapq
import time:       438 |       2090 |       heapq
import time:       871 |       2960 |     difflib
import time:      1193 |       4153 |   unittest.case
import time:       422 |        422 |   unittest.suite
import time:       752 |        752 |   unittest.loader
import time:       254 |        254 |       unittest.signals
import time:       359 |        612 |     unittest.runner
import time:       372 |        984 |   unittest.main
import time:       547 |       7828 | unittest
import time:       414 |        414 |     xml
import time:       550 |        963 |   xml.etree
import time:       562 |        562 |   xml.etree.ElementPath
import time:      1891 |       1891 |     pyexpat
import time:      1408 |       3298 |   _elementtree
import time:       939 |       5760 | xml.etree.ElementTree
import time:       378 |        378 | _pytest.tracemalloc
import time:       966 |        966 |     tomllib._re
import time:       767 |       1733 |   tomllib._parser
import time:       288 |       2020 | tomllib
import time:      8548 |       8548 | readline
import time:        78 |         78 | faulthandler
import time:       400 |        400 |   cmd
import time:       572 |        572 |   code
import time:      2052 |       2052 |     _socket
import time:      1197 |       3248 |   socket
import time:       291 |        291 |         concurrent
import time:       756 |        756 |         concurrent.futures._base
import time:      1720 |       1720 |         _interpreters
import time:       441 |       3206 |       concurrent.futures
import time:      9194 |       9194 |         _ssl
import time:       618 |        618 |         base64
import time:      3962 |      13773 |       ssl
import time:       430 |        430 |       asyncio.constants
import time:       339 |        339 |       asyncio.coroutines
import time:       301 |        301 |         contextvars
import time:       375 |        375 |         asyncio.format_helpers
import time:       336 |        336 |           asyncio.base_futures
import time:       348 |        348 |           asyncio.exceptions
import time:       367 |        367 |           asyncio.base_tasks
import time:      2175 |       3224 |         _asyncio
import time:       765 |       4663 |       asyncio.events
import time:       408 |        408 |       asyncio.futures
import time:       376 |        376 |       asyncio.protocols
import time:       457 |        457 |         asyncio.transports
import time:       172 |        172 |         asyncio.log
import time:       771 |       1399 |       asyncio.sslproto
import time:       169 |        169 |           asyncio.mixins
import time:       581 |        749 |         asyncio.locks
import time:       549 |        549 |           asyncio.queues
import time:       461 |        461 |           asyncio.timeouts
import time:       616 |       1626 |         asyncio.tasks
import time:       364 |       2738 |       asyncio.staggered
import time:       350 |        350 |       asyncio.trsock
import time:      1158 |      28835 |     asyncio.base_events
import time:      1515 |       1515 |     asyncio.graph
import time:       776 |        776 |     asyncio.runners
import time:       577 |        577 |     asyncio.streams
import time:       419 |        419 |     asyncio.subprocess
import time:       305 |        305 |     asyncio.taskgroups
import time:       168 |        168 |     asyncio.threads
import time:       436 |        436 |       asyncio.base_subprocess
import time:       696 |        696 |       asyncio.selector_events
import time:       669 |       1800 |     asyncio.unix_events
import time:       555 |      34946 |   asyncio
import time:       293 |        293 |     _pyrepl
import time:       295 |        295 |     _pyrepl.types
import time:       308 |        308 |     _pyrepl.trace
import time:      1147 |       2042 |   _pyrepl.utils
import time:      1406 |      42611 | pdb
Connected!
import time:       999 |        999 |           six
import time:       329 |        329 |                 dateutil._version
import time:       304 |        633 |               dateutil
import time:      1169 |       1169 |                 calendar
import time:       200 |        200 |                 dateutil._common
import time:        57 |         57 |                   six.moves
import time:       415 |        415 |                   dateutil.tz._common
import time:       338 |        338 |                   dateutil.tz._factories
import time:        38 |         38 |                     six.moves.winreg
import time:       337 |        375 |                   dateutil.tz.win
import time:       967 |       2150 |                 dateutil.tz.tz
import time:      1600 |       5118 |               dateutil.parser._parser
import time:       474 |        474 |               dateutil.parser.isoparser
import time:       509 |       6733 |             dateutil.parser
import time:        79 |         79 |               _winapi
import time:        70 |         70 |               winreg
import time:       522 |        670 |             mimetypes
import time:       487 |        487 |                   multiprocessing.process
import time:       416 |        416 |                       _compat_pickle
import time:      1926 |       1926 |                       _pickle
import time:       810 |       3151 |                     pickle
import time:      1534 |       1534 |                     array
import time:       473 |       5157 |                   multiprocessing.reduction
import time:       798 |       6441 |                 multiprocessing.context
import time:       460 |       6901 |               multiprocessing
import time:      1876 |       1876 |                 _queue
import time:       474 |       2350 |               queue
import time:       695 |        695 |               multiprocessing.util
import time:      1900 |       1900 |                 _multiprocessing
import time:        79 |         79 |                 _winapi
import time:       666 |       2643 |               multiprocessing.connection
import time:       833 |      13420 |             multiprocessing.pool
import time:        50 |         50 |               six.moves.urllib
import time:        53 |        103 |             six.moves.urllib.parse
import time:       381 |        381 |               urllib
import time:      1292 |       1292 |               ipaddress
import time:      1283 |       2956 |             urllib.parse
import time:      1157 |       1157 |                   email.errors
import time:       847 |        847 |                     http
import time:       366 |        366 |                             email.quoprimime
import time:       263 |        263 |                             email.base64mime
import time:       305 |        305 |                                 quopri
import time:       248 |        553 |                               email.encoders
import time:       314 |        867 |                             email.charset
import time:       683 |       2176 |                           email.header
import time:       290 |        290 |                             email._parseaddr
import time:       438 |        727 |                           email.utils
import time:       465 |       3367 |                         email._policybase
import time:       633 |       3999 |                       email.feedparser
import time:       327 |       4326 |                     email.parser
import time:       441 |        441 |                       email._encoded_words
import time:       257 |        257 |                       email.iterators
import time:       526 |       1223 |                     email.message
import time:      1247 |       7642 |                   http.client
import time:      1087 |       9885 |                 urllib3.exceptions
import time:       448 |        448 |                         urllib3.util.timeout
import time:       485 |        933 |                       urllib3.util.connection
import time:       253 |        253 |                         urllib3.util.util
import time:        83 |         83 |                         brotlicffi
import time:        70 |         70 |                         brotli
import time:       657 |       1061 |                       urllib3.util.request
import time:       276 |        276 |                       urllib3.util.response
import time:       614 |        614 |                       urllib3.util.retry
import time:      9827 |       9827 |                           _hashlib
import time:      1887 |       1887 |                           _blake2
import time:       754 |      12467 |                         hashlib
import time:      2408 |       2408 |                           _hmac
import time:       526 |       2934 |                         hmac
import time:      5182 |       5182 |                         urllib3.util.url
import time:       513 |        513 |                         urllib3.util.ssltransport
import time:       589 |      21684 |                       urllib3.util.ssl_
import time:       293 |        293 |                       urllib3.util.wait
import time:       323 |      25181 |                     urllib3.util
import time:        20 |      25201 |                   urllib3.util.connection
import time:       851 |      26052 |                 urllib3._base_connection
import time:       674 |        674 |                 urllib3._collections
import time:       294 |        294 |                 urllib3._version
import time:       348 |        348 |                       urllib3.fields
import time:       310 |        657 |                     urllib3.filepost
import time:        89 |         89 |                       brotlicffi
import time:        70 |         70 |                       brotli
import time:       249 |        249 |                         urllib3.http2
import time:       354 |        354 |                         urllib3.http2.probe
import time:       369 |        369 |                         urllib3.util.ssl_match_hostname
import time:       744 |       1714 |                       urllib3.connection
import time:       737 |       2609 |                     urllib3.response
import time:       397 |       3663 |                   urllib3._request_methods
import time:       274 |        274 |                   urllib3.util.proxy
import time:       453 |       4389 |                 urllib3.connectionpool
import time:      1012 |       1012 |                 urllib3.poolmanager
import time:       484 |      42787 |               urllib3
import time:       525 |        525 |               kubernetes.client.exceptions
import time:       483 |      43794 |             kubernetes.client.configuration
import time:      1245 |       1245 |               kubernetes.client.models.admissionregistration_v1_service_reference
import time:       382 |        382 |               kubernetes.client.models.admissionregistration_v1_webhook_client_config
import time:       279 |        279 |               kubernetes.client.models.apiextensions_v1_service_reference
import time:       303 |        303 |               kubernetes.client.models.apiextensions_v1_webhook_client_config
import time:       375 |        375 |               kubernetes.client.models.apiregistration_v1_service_reference
import time:       222 |        222 |               kubernetes.client.models.authentication_v1_token_request
import time:       232 |        232 |               kubernetes.client.models.core_v1_endpoint_port
import time:       377 |        377 |               kubernetes.client.models.core_v1_event
import time:       226 |        226 |               kubernetes.client.models.core_v1_event_list
import time:       281 |        281 |               kubernetes.client.models.core_v1_event_series
import time:       294 |        294 |               kubernetes.client.models.core_v1_resource_claim
import time:       207 |        207 |               kubernetes.client.models.discovery_v1_endpoint_port
import time:       363 |        363 |               kubernetes.client.models.events_v1_event
import time:       206 |        206 |               kubernetes.client.models.events_v1_event_list
import time:       196 |        196 |               kubernetes.client.models.events_v1_event_series
import time:       195 |        195 |               kubernetes.client.models.flowcontrol_v1_subject
import time:       196 |        196 |               kubernetes.client.models.rbac_v1_subject
import time:       319 |        319 |               kubernetes.client.models.resource_v1_resource_claim
import time:       188 |        188 |               kubernetes.client.models.storage_v1_token_request
import time:       268 |        268 |               kubernetes.client.models.v1_api_group
import time:       191 |        191 |               kubernetes.client.models.v1_api_group_list
import time:       349 |        349 |               kubernetes.client.models.v1_api_resource
import time:       197 |        197 |               kubernetes.client.models.v1_api_resource_list
import time:       197 |        197 |               kubernetes.client.models.v1_api_service
import time:       206 |        206 |               kubernetes.client.models.v1_api_service_condition
import time:       192 |        192 |               kubernetes.client.models.v1_api_service_list
import time:       370 |        370 |               kubernetes.client.models.v1_api_service_spec
import time:       183 |        183 |               kubernetes.client.models.v1_api_service_status
import time:       192 |        192 |               kubernetes.client.models.v1_api_versions
import time:       304 |        304 |               kubernetes.client.models.v1_aws_elastic_block_store_volume_source
import time:       190 |        190 |               kubernetes.client.models.v1_affinity
import time:       182 |        182 |               kubernetes.client.models.v1_aggregation_rule
import time:       301 |        301 |               kubernetes.client.models.v1_allocated_device_status
import time:       197 |        197 |               kubernetes.client.models.v1_allocation_result
import time:       180 |        180 |               kubernetes.client.models.v1_app_armor_profile
import time:       179 |        179 |               kubernetes.client.models.v1_apply_configuration
import time:       185 |        185 |               kubernetes.client.models.v1_attached_volume
import time:       188 |        188 |               kubernetes.client.models.v1_audit_annotation
import time:       305 |        305 |               kubernetes.client.models.v1_azure_disk_volume_source
import time:       338 |        338 |               kubernetes.client.models.v1_azure_file_persistent_volume_source
import time:       191 |        191 |               kubernetes.client.models.v1_azure_file_volume_source
import time:       191 |        191 |               kubernetes.client.models.v1_binding
import time:       187 |        187 |               kubernetes.client.models.v1_bound_object_reference
import time:       193 |        193 |               kubernetes.client.models.v1_cel_device_selector
import time:       286 |        286 |               kubernetes.client.models.v1_csi_driver
import time:       253 |        253 |               kubernetes.client.models.v1_csi_driver_list
import time:       411 |        411 |               kubernetes.client.models.v1_csi_driver_spec
import time:       194 |        194 |               kubernetes.client.models.v1_csi_node
import time:       192 |        192 |               kubernetes.client.models.v1_csi_node_driver
import time:       296 |        296 |               kubernetes.client.models.v1_csi_node_list
import time:       261 |        261 |               kubernetes.client.models.v1_csi_node_spec
import time:       222 |        222 |               kubernetes.client.models.v1_csi_persistent_volume_source
import time:       202 |        202 |               kubernetes.client.models.v1_csi_storage_capacity
import time:       284 |        284 |               kubernetes.client.models.v1_csi_storage_capacity_list
import time:       345 |        345 |               kubernetes.client.models.v1_csi_volume_source
import time:       251 |        251 |               kubernetes.client.models.v1_capabilities
import time:       192 |        192 |               kubernetes.client.models.v1_capacity_request_policy
import time:       188 |        188 |               kubernetes.client.models.v1_capacity_request_policy_range
import time:       297 |        297 |               kubernetes.client.models.v1_capacity_requirements
import time:       197 |        197 |               kubernetes.client.models.v1_ceph_fs_persistent_volume_source
import time:       196 |        196 |               kubernetes.client.models.v1_ceph_fs_volume_source
import time:       197 |        197 |               kubernetes.client.models.v1_certificate_signing_request
import time:       301 |        301 |               kubernetes.client.models.v1_certificate_signing_request_condition
import time:       197 |        197 |               kubernetes.client.models.v1_certificate_signing_request_list
import time:       331 |        331 |               kubernetes.client.models.v1_certificate_signing_request_spec
import time:       190 |        190 |               kubernetes.client.models.v1_certificate_signing_request_status
import time:       188 |        188 |               kubernetes.client.models.v1_cinder_persistent_volume_source
import time:       189 |        189 |               kubernetes.client.models.v1_cinder_volume_source
import time:       264 |        264 |               kubernetes.client.models.v1_client_ip_config
import time:       198 |        198 |               kubernetes.client.models.v1_cluster_role
import time:       190 |        190 |               kubernetes.client.models.v1_cluster_role_binding
import time:       196 |        196 |               kubernetes.client.models.v1_cluster_role_binding_list
import time:       182 |        182 |               kubernetes.client.models.v1_cluster_role_list
import time:       240 |        240 |               kubernetes.client.models.v1_cluster_trust_bundle_projection
import time:       272 |        272 |               kubernetes.client.models.v1_component_condition
import time:       310 |        310 |               kubernetes.client.models.v1_component_status
import time:       297 |        297 |               kubernetes.client.models.v1_component_status_list
import time:       363 |        363 |               kubernetes.client.models.v1_condition
import time:       205 |        205 |               kubernetes.client.models.v1_config_map
import time:       288 |        288 |               kubernetes.client.models.v1_config_map_env_source
import time:       251 |        251 |               kubernetes.client.models.v1_config_map_key_selector
import time:       190 |        190 |               kubernetes.client.models.v1_config_map_list
import time:       194 |        194 |               kubernetes.client.models.v1_config_map_node_config_source
import time:       190 |        190 |               kubernetes.client.models.v1_config_map_projection
import time:       196 |        196 |               kubernetes.client.models.v1_config_map_volume_source
import time:       399 |        399 |               kubernetes.client.models.v1_container
import time:       193 |        193 |               kubernetes.client.models.v1_container_extended_resource_request
import time:       181 |        181 |               kubernetes.client.models.v1_container_image
import time:       194 |        194 |               kubernetes.client.models.v1_container_port
import time:       188 |        188 |               kubernetes.client.models.v1_container_resize_policy
import time:       192 |        192 |               kubernetes.client.models.v1_container_restart_rule
import time:       181 |        181 |               kubernetes.client.models.v1_container_restart_rule_on_exit_codes
import time:       186 |        186 |               kubernetes.client.models.v1_container_state
import time:       182 |        182 |               kubernetes.client.models.v1_container_state_running
import time:       308 |        308 |               kubernetes.client.models.v1_container_state_terminated
import time:       180 |        180 |               kubernetes.client.models.v1_container_state_waiting
import time:       325 |        325 |               kubernetes.client.models.v1_container_status
import time:       180 |        180 |               kubernetes.client.models.v1_container_user
import time:       279 |        279 |               kubernetes.client.models.v1_controller_revision
import time:       247 |        247 |               kubernetes.client.models.v1_controller_revision_list
import time:       175 |        175 |               kubernetes.client.models.v1_counter
import time:       178 |        178 |               kubernetes.client.models.v1_counter_set
import time:       191 |        191 |               kubernetes.client.models.v1_cron_job
import time:       192 |        192 |               kubernetes.client.models.v1_cron_job_list
import time:       310 |        310 |               kubernetes.client.models.v1_cron_job_spec
import time:       190 |        190 |               kubernetes.client.models.v1_cron_job_status
import time:       183 |        183 |               kubernetes.client.models.v1_cross_version_object_reference
import time:       291 |        291 |               kubernetes.client.models.v1_custom_resource_column_definition
import time:       189 |        189 |               kubernetes.client.models.v1_custom_resource_conversion
import time:       325 |        325 |               kubernetes.client.models.v1_custom_resource_definition
import time:       371 |        371 |               kubernetes.client.models.v1_custom_resource_definition_condition
import time:      2647 |       2647 |               kubernetes.client.models.v1_custom_resource_definition_list
import time:       318 |        318 |               kubernetes.client.models.v1_custom_resource_definition_names
import time:       349 |        349 |               kubernetes.client.models.v1_custom_resource_definition_spec
import time:       223 |        223 |               kubernetes.client.models.v1_custom_resource_definition_status
import time:       381 |        381 |               kubernetes.client.models.v1_custom_resource_definition_version
import time:       213 |        213 |               kubernetes.client.models.v1_custom_resource_subresource_scale
import time:       201 |        201 |               kubernetes.client.models.v1_custom_resource_subresources
import time:       183 |        183 |               kubernetes.client.models.v1_custom_resource_validation
import time:       189 |        189 |               kubernetes.client.models.v1_daemon_endpoint
import time:       195 |        195 |               kubernetes.client.models.v1_daemon_set
import time:       200 |        200 |               kubernetes.client.models.v1_daemon_set_condition
import time:       196 |        196 |               kubernetes.client.models.v1_daemon_set_list
import time:       204 |        204 |               kubernetes.client.models.v1_daemon_set_spec
import time:       322 |        322 |               kubernetes.client.models.v1_daemon_set_status
import time:       194 |        194 |               kubernetes.client.models.v1_daemon_set_update_strategy
import time:       311 |        311 |               kubernetes.client.models.v1_delete_options
import time:       200 |        200 |               kubernetes.client.models.v1_deployment
import time:       197 |        197 |               kubernetes.client.models.v1_deployment_condition
import time:       294 |        294 |               kubernetes.client.models.v1_deployment_list
import time:       240 |        240 |               kubernetes.client.models.v1_deployment_spec
import time:       272 |        272 |               kubernetes.client.models.v1_deployment_status
import time:       213 |        213 |               kubernetes.client.models.v1_deployment_strategy
